Hotel Name,Content,Rating,Date of stay,
Aqueen Hotel Paya Lebar,"a hotel without a bar, cafe or restaurant is a no go.",4,16-Jun-22,
Aqueen Hotel Paya Lebar,Room is too small and booking is non refundable.,6,1-Jan-22,
Aqueen Hotel Paya Lebar,Nice and comfort bed .. but lack of hanger and cable TV channel . ,8,9-Jul-21,
Aqueen Hotel Paya Lebar,"Friendly staff, clean, good location. Not good is need to bang the door to close it tight, and it wake me up every time the neighbour close the door in the midnight :( ",8,5-Apr-21,
Aqueen Hotel Paya Lebar,Staffs are friendly. ,10,25-Feb-21,
Aqueen Hotel Paya Lebar,Simple yet comfy .. just good for a short staycation . ,10,11-Feb-21,
Aqueen Hotel Paya Lebar,Nice hotel with friendly staffs . ,10,26-Jan-21,
Aqueen Hotel Paya Lebar,Excellent front desk staff ,10,25-Jan-21,
Aqueen Hotel Paya Lebar,Nice n friendly staffs ... my second time checking in to this lovely hotel . ,10,2-Jan-21,
Aqueen Hotel Paya Lebar,Good - customer service. Easy check in and chekk our. Clean and nice,10,9-May-19,
Aqueen Hotel Paya Lebar,Disappointing ,6,28-Dec-20,
Aqueen Hotel Paya Lebar,"Simple cozy stay with comfortable bed and clean room. There's no cable tv, though with a Samsung smart tv, you can resort to screen mirror via your phone",8,7-Dec-20,
Aqueen Hotel Paya Lebar,"My 2nd time staying in this hotel. Really love the rooms and also, hospitality of the staffs. ",10,1-Dec-20,
Aqueen Hotel Paya Lebar,"Room was clean, receptionist were helpful. Really enjoyed the complimentary upgrade to the premier room.",10,26-Sep-20,
Aqueen Hotel Paya Lebar,"Good hotel but my room, 619 was very moldy in the bathroom.  They need to recaulk the whole restroom.",8,13-Dec-19,
Aqueen Hotel Paya Lebar,Very clean. Good staff  some room  small other are very good sized ,10,8-Dec-19,
Aqueen Hotel Paya Lebar,"Nice hotel, but the room is fairly small",8,1-Dec-19,
Aqueen Hotel Paya Lebar,"Great for a short stay over, one straight drive through expressway to get to airport.",8,26-Nov-19,
Aqueen Hotel Paya Lebar,"Warm welcome, smooth and easy check in. Willing to help.",10,18-Sep-19,
Aqueen Hotel Paya Lebar,Good biz hotel. Would stay again. Thanks ,8,31-Aug-19,
Aqueen Hotel Paya Lebar,Ok close to my office,10,7-Aug-19,
Aqueen Hotel Paya Lebar,Good location. Condition of room is not bad for a 3-star hotel. Only thing is the linen is not very clean and the bedsheet seems crumbled. But generally goof as check-in and check-out is very fast.,8,7-Aug-19,
Aqueen Hotel Paya Lebar,Great venue! Cleaniess was good and cosy environment,8,5-Jul-19,
Aqueen Hotel Paya Lebar,close to the mrt station and malls. quite and peaceful,8,3-Jul-19,
Aqueen Hotel Paya Lebar,"Clean and fuss free. Nice basement parking.
Staff are courteous and approachable ",10,12-Dec-20,
Aqueen Hotel Paya Lebar,Clean and tidy room. Abt 5 mons walk to shoppong malls & MRT.,10,5-Jul-17,
Aqueen Hotel Paya Lebar,"Excellent motel, great location near shopping centre and train line for trips into city. room small but adeqaute, very clean and bed very comfortable. Staff very friendly and helpful.  Highly recommend.",8,16-Oct-17,
Aqueen Hotel Paya Lebar,Good value,6,24-Aug-15,
Aqueen Hotel Paya Lebar,Great hotel and friendly staff. Allowed us early checkin after our long international flight. Very comfortable and modern room. Staff gave great advice on things to do and train station was close and easy to use. Highly recommended!,10,22-Aug-15,
Aqueen Hotel Paya Lebar,This is an excellent hotel for tourist or business persons who just need a clean comfortable room to sleep in. Miss the breakfast it is very average.,10,21-Aug-15,
Aqueen Hotel Paya Lebar,"The Hotel looks ok. Is a bit smaller then it's aqueen counterparts around SG.
The room is clean and the bed is nice.
There is however one big weird annoying but.
For some unknown weird reason there are build in speakers in the ceiling which start playing terrible music from 07:00 to 09:00 a.m. in the morning and you can't kill it! It's bizarre, never seen this in any hotel before ever.",4,14-Aug-15,
Aqueen Hotel Paya Lebar,"Clean, Cool & Neat... Aqueen @ Paya Lebar!!! You are the best!!",8,11-Aug-15,
Aqueen Hotel Paya Lebar,"Convenient location with shopping mall nearby and 24-hr shop next door. Clean room and everything that a room should have, shower amenities was user friendly. Fast check-in and check-out service with friendly staff, and provide sufficient room cleaning rounds. Unfortunately we miss out access to the rooftop as it was unavailable during our stay. Also maybe the hotel can work on a better entry to the hotel from side of the road so as to make it convenient for guest not travelling by private transport.",8,11-Aug-15,
Aqueen Hotel Paya Lebar,Very convenient location. Nearby the MRT Station. Only things is the breakfast no that much choice.,10,28-Jul-15,
Aqueen Hotel Paya Lebar,Good staycation,10,27-Jul-15,
Aqueen Hotel Paya Lebar,"Overall the stay was good, except the drop down drape was not dark enough if you plan to sleep till very late. The air-con unit is blowing directly to the bed, so we have to keep adjusting the flip position to have a better rest.",8,23-Jul-15,
Aqueen Hotel Paya Lebar,It was easy find great hotel clean and location is great,10,21-Jul-15,
Aqueen Hotel Paya Lebar,"Traffic to move into the hotel is bad, no nearby restaurant or drinking place . Rooms are clean but small, No NHk program as my guests are all japanese .",8,19-Jul-15,
Aqueen Hotel Paya Lebar,New and neat hotel. Strategically located.,6,14-Jul-15,
Aqueen Hotel Paya Lebar,"New hotel, just started on 1 May. Excellent service, good ambience and tip top cleanliness.",10,13-Jul-15,
Aqueen Hotel Paya Lebar,"Business trip, needed convenience & a good bed and it covered these bases",6,6-Jul-15,
Aqueen Hotel Paya Lebar,Positive,8,1-Jul-15,
Aqueen Hotel Paya Lebar,"Unser Aufenthalt war top. Schneller check-in, freundlicher und sicherer Service mit den Koffern vor check-in und nach check-out. Gute Lage, nahe verschiedener Malls und Bus und Bahn (zu Fuss 5 Minuten). Sauber. Sogar ein Willkommensgeschenk im Zimmer. Einziges Manko: unser Zimmer hatte kein Fenster (vielleicht haben wir das bei der Buchung uebersehen), war aber kein Problem, da wir nur im Zimmer geschlafen haben.",8,7-Oct-22,
Aqueen Hotel Paya Lebar,Ilk gece cok kotu bir oda verdiler. Rutubet kokusu vardi. Degistirmediler. Midemiz bulanarak kalmak zorunda kaldim. Iadesiz aldigimiz icin parayi da iade etmeyip ilk gece kalmak zorunda birakildik. Birgun sonra oda degistirdi sma cok kucuk odalar. Sivri sinek cok fazla vardi. ,6,2-Oct-22,
Aqueen Hotel Paya Lebar,Very good ,10,15-Nov-21,
Aqueen Hotel Paya Lebar,"The hotel is quite new, so the overall experience is good.  Good location, good cleanness, but the sound proof is bad.  I was disturbed by the noises at 1:30AM my next door taking shower.   Loud and clear.   ",8,3-Oct-19,
Aqueen Hotel Paya Lebar,"Location is good, but the sound insulation of the room is not good.",8,23-Aug-19,
Aqueen Hotel Paya Lebar,Prefer a swimming pool and sunbath facility available in the hotel.,8,17-May-19,
Aqueen Hotel Paya Lebar,"Tempat yang nyaman, dekat dengan bus stop, suasana yang tenang walaupun dekat dengan jalan raya, diantara MRT Station jalur hijau atau jalur biru dengan 10 menit jalan kaki.",10,17-Feb-19,
Aqueen Hotel Paya Lebar,"Calm and clean hotel close  to the subway and bus 
station.",8,30-Oct-18,
Aqueen Hotel Paya Lebar,"Friendly staff, clean room, convenient location and good breakfast.
Receptionist girl is really helpful!
",8,4-Sep-18,
Aqueen Hotel Paya Lebar,It takes just 5 minutes walking from the hotel to MRT station and shopping mall (including restaurants). ,8,29-Aug-18,
Aqueen Hotel Paya Lebar,"Near Mrt 5min, but room soundproof is not good, there are two department stores nearby.",8,29-Jul-18,
Aqueen Hotel Paya Lebar,The room is a bit too small but others are fine.,6,26-Nov-17,
Aqueen Hotel Paya Lebar,kleines aber komfortables Zimmer,8,22-Oct-16,
Aqueen Hotel Paya Lebar,"Hotel is clean and modern.  Receptionists speak excellent English.  Unfortunately, I was unable to get hot water for my shower early in the morning.  My husband's was fine by then.  Disappointed in the price we paid.  Had previously stayed at the Holiday Inn in Katong, and breakfast was included in that hotel price.  For its value, I would stay at the Holiday Inn instead. ",4,5-Jun-17,
Aqueen Hotel Paya Lebar,Pleasent,8,28-Aug-15,
Aqueen Hotel Paya Lebar,"My experience: First we were booked to an inside room with a faux window, which I didn't expect. I'm 6' tall and my feet hung off the end of the bed... the bed was too short. The desk staff were kind enough to give an upgrade and despite the faux window of the first room, and both rooms were nice.

There was a problem with the booking that I pointed out before I checked in, and they said check with the manager the next day, which I did. The manager said check with the booking agent who said I had to take care of it before I checked in! (that was literally a run-around) They refused to resolve it despite several calls from my reservation company and me.

I was polite, but felt frustrated and wanted to find another place. The reservation staff then refused to refund a refundable booking saying it wasn't refundable until I showed the ""Free Cancellation..."" text in the reservation to the third person and they finally honored that.

The hotel staff were generally friendly, but seems they operate under a harsh management in a culture that includes some fear -not the best recipe for happy guests. The food was ok, but I got sick with food poisoning from the lunch and threw up twice over the next 24 hours. With the extra effort of some of the desk staff, I wish I could give it a better rating, but honestly, overall, it was a poor experience.",4,28-Aug-15,
Aqueen Hotel Paya Lebar,"New hotel, great rooms & very reasonably priced... Staff were excellent",10,29-Aug-15,
Aqueen Hotel Paya Lebar,Good,8,21-Jan-17,
Aqueen Hotel Paya Lebar,Helpful staff in a clean quiet area. Lack of avaliable evening meals prevents 5 star as there are no local eating establishments close by.,8,16-Jan-17,
Aqueen Hotel Paya Lebar,"Friendly, quiet and relaxing place",8,20-Nov-16,
Aqueen Hotel Paya Lebar,"Big room & big bed , relax n quite really enjoyable",10,4-Nov-16,
Aqueen Hotel Paya Lebar,is great except the door when close it make a loud bang noise. The hotel admin also need to take fast action when some Chinese guest start to shout and argue or talk loud and disturb others. Is can be a 3 star but  they make like guest house.,10,20-Oct-16,
Aqueen Hotel Paya Lebar,First time in this area. Will stay again as lots of options for food nearby and MRT also close. Staff are friendly and accommodating.,8,27-Aug-16,
Aqueen Hotel Paya Lebar,For the first time stayed in a room without any windows. It was sold as 'upgraded to a premium room' by the hotel staff.,4,7-Aug-16,
Aqueen Hotel Paya Lebar,Been staying in this hotel for countless times. Still my best hotel choice.,8,14-Jun-16,
Aqueen Hotel Paya Lebar,"Stopover 
Close to the airport 
Mall and food court nearby",10,7-Jun-16,
Aqueen Hotel Paya Lebar,Still my best choice in Singapore. Best customer service. Answer to my every requests. Lighting in the rooms needed to be done properly due to dim light.,8,2-Jun-16,
Aqueen Hotel Paya Lebar,"I stayed for few days.
the Location is convenient, it is in the middle between airport and downtown. Near to shopping mall & mass transit, about 5-min walk. 
Hotel looks is newly established.
However, room space is a CONS for more than one guess, and therefore will recommend to friend whom will stay shortly.",6,25-May-16,
Aqueen Hotel Paya Lebar,Easy access,6,3-Mar-16,
Aqueen Hotel Paya Lebar,satisfactory as a business hotel. comfy rooms and worth the value.,10,21-Sep-16,
Aqueen Hotel Paya Lebar,"Quality of room and hotel service is great. In a year, I will have a few staycations. The most recent stay i had, the toilet wasnt clean properly with a used towel hidden behind the shower curtain.

The restaurant service is really really slow during lunch hour. They have very few staff. I waited almost an hour for my food with when the restaurant is only 1/4 filled.
Otherwise i like the location and overall service of the hotel.",10,21-Feb-16,
Aqueen Hotel Paya Lebar,Good service with sincere smile from hotel staff.,10,6-Jan-16,
Aqueen Hotel Paya Lebar,"I only stayed 1 nite and left at 2 am.  Room was ready when I arrived at 11 am.  Amenities were great, linens were above average.  Taxi left one suitcase in trunk & hotel tracked taxi driver down & made him return it (taxi made me pay again but not hotels fault)  Hotel is in area without stores, restaurants, shops, etc.  Would have to take taxi to go anywhere.",8,14-Dec-15,
Aqueen Hotel Paya Lebar,Hotel location in the middle of nowhere. Difficult to get taxi,6,6-Dec-15,
Aqueen Hotel Paya Lebar,General ok. But corridor & room very dim and poorly lighted.,6,3-Dec-15,
Aqueen Hotel Paya Lebar,"No complaint, new hotel.",6,27-Nov-15,
Aqueen Hotel Paya Lebar,First time to stay in this hotel. Great value for money. Hotel is new and excellent. Wifi is free with unlimited number of units. I have 3 and my wife has 2. Staff are great and helpful. Lots of outlets including universal socket. We arrive 2 hours early and they accommodated us with early check in because the room was available.,10,25-Nov-15,
Aqueen Hotel Paya Lebar,The hotel sound proof is terrible. You can hear the traffic noise even on a higher floor. It is also in aeroplane fly zone. The hotel corridor is so narrow and you can hear people talking outside. Be prepare to wake up by luggage or trolley banging on the wall. Forget about sleeping in. My worst stay ever and not recommend to others.,2,24-Nov-15,
Aqueen Hotel Paya Lebar,ok,8,9-Nov-15,
Aqueen Hotel Paya Lebar,I will definitely book my business associates at this hotel,10,1-Nov-15,
Aqueen Hotel Paya Lebar,Would stay in again!,8,30-Oct-15,
Aqueen Hotel Paya Lebar,"Clean but small,within walking distance of MRT station.",6,26-Oct-15,
Aqueen Hotel Paya Lebar,"I booked for 2 nights originally, but because I missed my flight, I extended my stay or 1 more night.",8,8-Sep-15,
Aqueen Hotel Paya Lebar,"Gem of a hotel, if you don't mind being off the beaten path. Brand new, with very modern decor. Room is small, but not overly small. Not much at all nearby. A great place to sleep and refresh before the next flight, if that's what you need.",8,31-Aug-15,
Aqueen Hotel Paya Lebar,"Stayed for 2 nights in a Superior room - which is a very small room. However, it was a business trip and I used to come late night to the hotel to sleep - was staying alone in the room. However, the next best room was Deluxe which was almost the same size - maybe slightly bigger. The Premier room was bigger and a bit spacious - but expensive. Superior and deluxe rooms would be cramped for 2 people sharing the room. Ok for a solo traveller - who is just coming to the hotel to sleep. Even the table space is cramped and not suitable for working long time.... Wi-Fi is good.

This hotel is 5 minutes walk to Paya Lebar MRT. there is a 7-11 store nearby and there are lot of food options in the Paya Lebar Square. Didn't get much time to explore the area. Hotel has a restaurant - but didn't try it.",8,15-Feb-16,
Aqueen Hotel Paya Lebar,Not big but clean enough,8,25-May-16,
Ascott Raffles Place Singapore (SG Clean),Staff are very kind and welcoming and they try to help clients. I am totally statisfied. ,10,2-Feb-20,
Ascott Raffles Place Singapore (SG Clean),Excellent time at Escott,10,17-Feb-20,
Ascott Raffles Place Singapore (SG Clean),"Location at heart of Singapore financial Center, a couple of yards to subway station. Food Court nearbay and chain of bars & restaurants  along river bank. Very spacious and clean rooms with kitchenette, large fridge,",10,21-Jan-20,
Ascott Raffles Place Singapore (SG Clean),"Simply one of the best hotels I have ever stayed (and I have travelled around the world). 

Amazing facilities and services 

Highly recommend",10,7-Jan-20,
Ascott Raffles Place Singapore (SG Clean),"Should be listed on a different site as its an apartment in an apartment building which was nice but therefore it didn't have regular hotel amenities. Very limited to none especially on the weekend and on top of that a dry neighborhood so finding snacks was tough. This would be better to know upfront before booking. Should be stated clearly upfront that you can not get the bar at all and no room service after 2pm on the weekends. The staff had no solutions regarding where to go for food, beverage, etc.  The neighborhood has no action so if you want to do nothing stay here.",4,24-Mar-20,
Ascott Raffles Place Singapore (SG Clean),Nice hotel for long stay. Excellent location but not a lot of atmosphere.,8,21-Apr-18,
Ascott Raffles Place Singapore (SG Clean),"Excellent value and size of rooms, full set of amenities (kitchen, laundry), great for friends and groups. Not so recommended for kids if playground is needed, but proximity to the bay area is excellent for cycling and trekking activities. Close to 7-Eleven. Weekend F&B at Raffles Green is mostly closed, but plenty of food options at the quay areas. Highly recommended for being away from crowds over weekend. ",10,2-Apr-21,
Ascott Raffles Place Singapore (SG Clean),"The staffs were welcoming and it makes our stay very pleasant. Only regret is not to stay longer, wish we had more time to explore the area and enjoy the infinity pool and other facilities.,",10,7-Nov-21,
Ascott Raffles Place Singapore (SG Clean),"The check in process is efficient and simple. Staff are helpful and polite. The hotel room is nice, comfortable and clean. I will not hesitate to recommend to friends to book with Ascot Raffles Place. I will be back again anytime this year.",10,7-Jan-22,
Ascott Raffles Place Singapore (SG Clean),"Perfect location for getting around Singapore quiet clean comfortable.
Couldn't fault it.",10,12-Dec-19,
Ascott Raffles Place Singapore (SG Clean),"Very nice location. Friendly staff.

But overall it is old and need major renovation.",6,4-Sep-22,
Ascott Raffles Place Singapore (SG Clean),"We had an agreement: I check out 4 nights before schedule and they refund me 3 nights fee. Obviously they were just LYING and had never planned to keep their word. Very impressive.

In addition, the sound prove is very bad.",2,14-Dec-20,
Ascott Raffles Place Singapore (SG Clean),Very good but the bar needs to be opened at weekends,8,21-Oct-19,
Ascott Raffles Place Singapore (SG Clean),Property was central and close to everything. Infinity pool was fantastic.,10,18-Oct-19,
Ascott Raffles Place Singapore (SG Clean),"Great location wonderfully appointed apartment with cooking facilities if you need them, friendly staff",8,18-Sep-19,
Ascott Raffles Place Singapore (SG Clean),If you want a quiet hotel to just relax you cant go past the Ascot.,8,22-Apr-12,
Ascott Raffles Place Singapore (SG Clean),"Fantastic service, very nice staff and good location.",10,24-Apr-12,
Ascott Raffles Place Singapore (SG Clean),Great service and great people always there to lend a hand,8,8-May-12,
Ascott Raffles Place Singapore (SG Clean),"Excellent and more value for your money as it comes with way more amenities than other 5 star institutions. Loved my stay, staff was really helpful and accommodating. Plan to stay there next time I am in Singapore.",10,9-Jun-12,
Ascott Raffles Place Singapore (SG Clean),"
",8,3-Jul-12,
Ascott Raffles Place Singapore (SG Clean),"Facilities: Home away from home; Value: Fantastic; Service: Outstanding; Cleanliness: Immaculate; 
bathroom door handle came off",10,6-Jul-12,
Ascott Raffles Place Singapore (SG Clean),Will stay again next time I'm in Singapore if a good rate is available.,10,1-Aug-12,
Ascott Raffles Place Singapore (SG Clean),"The Ascott Raffles Place is a fantastic property. It's not a typical hotel, it's more of a residence hotel. The rooms are more efficiency apartments than hotel rooms. They are larger than most rooms, have everything needed for a longer stay (including a washer and dryer), and are VERY comfortable. The bathrooms are terrific! We were only in Singapore 18 hours on business, but we plan to come back and stay here.",10,26-Nov-12,
Ascott Raffles Place Singapore (SG Clean),The hotel is well situated in the financial district but it is a little outdated and needs a refurbishment. It is fairly expensive given the condition of the hotel. Had a room with no view and fairly dark.,6,22-Jan-13,
Ascott Raffles Place Singapore (SG Clean),"Service: Flawless; Cleanliness: Spotless; 
",10,14-Feb-13,
Ascott Raffles Place Singapore (SG Clean),"Facilities: Top of the line, State of the art, Outstanding; Value: Great deal, Fantastic, Amazing; Service: Remarkable, Go the extra mile, Outstanding; Cleanliness: Spotless, Gleaming, Immaculate; 
",10,28-Feb-13,
Ascott Raffles Place Singapore (SG Clean),the hotel was nice. the room was large and clean. the hotel was nice. the room was large and clean. the hotel was nice. the room was large and clean,10,1-Apr-13,
Ascott Raffles Place Singapore (SG Clean),It was great having a washing machine to do laundry at the end of my 4 night stay. And have a fridge int he room meant that I could go to the local market and buy some food for the week. I would stay there again.,10,31-May-13,
Ascott Raffles Place Singapore (SG Clean),good location and a great hotel..exactly what you expect,10,30-Jul-13,
Ascott Raffles Place Singapore (SG Clean),"Really nice place to stay. The room was really an apartment with full size fridge/freezer and washer/dryer plus all you needed in the kitchen. Not much of a view from our room(over the street) but we were only on the 6th floor - may have been better up higher maybe. Everything was clean and comfortable apart from the huge bed which was a bit on the hard side.
The MRT was just out the hotel door and a few steps away. We used the MRT to come and go to the airport - nice and easy and cheap! With the MRT near everywhere is easy to get to plus beautiful waterfront and Merlion only a few blocks away.
The free wifi was great to keep in contact with our girls in NZ.
The hotel staff were very friendly and courteous.",10,19-Aug-13,
Ascott Raffles Place Singapore (SG Clean),"Facilities: Nice ; Value: Affordable; Service: Professional; Cleanliness: Beautiful; 
",10,1-Sep-13,
Ascott Raffles Place Singapore (SG Clean),"The room is a bit small. But overall it's okay. You can cook your meal using the kitchen over there. The bathroom was great. Overall I do enjoy the stay over at Ascott Raffles Place. If there's promotion again, will stay there again.",8,4-Sep-13,
Ascott Raffles Place Singapore (SG Clean),Took my teenage sone for a week away. Very ince hotel in business district. Train transport takes you anywhere so very good trip,8,24-Jul-15,
Ascott Raffles Place Singapore (SG Clean),"Near the subway, good and spacious gym. The Living Room on the 19th floor with coffee/tea and outdoor seating area was very nice.",10,30-Jun-15,
Ascott Raffles Place Singapore (SG Clean),"This is at a corner of 2 busy roads. It is very convenient as there is a MRT, Raffles Place, entrance closeby and taxi stand around the corner. Apt is quite big with a nice bathroom, kitchenette, separate living room with BOSE, a TV. There is another TV in bedroom, which is split level. The decor is elegantly designed. However, you need to go around the apartment to switch all the lights. There is a Nespresso machine with 2 choices of coffee capsules. There is complimentary fruit, water. There is  breakfast buffet in the morning, which is payable if it's not included in your package. I will stay here for business again but may not have the buffet breakfast as there are many other choices close by. The concierge is also helpful. However if you take a taxi back to the apartment hotel, please get a card from the concierge as not all taxi drivers knew where this is since it is not a hotel. They think it is serviced apartments.",10,14-Mar-15,
Ascott Raffles Place Singapore (SG Clean),"Great location, great value, very nice rooms. Would stay again and recommend to friends.",10,23-Jan-15,
Ascott Raffles Place Singapore (SG Clean),"Spacious room for Singapore standard, can be used as a nice working environment, printing and scanning services available by email. Note: Room service food quality was bad, run by another company.",10,21-Jan-15,
Ascott Raffles Place Singapore (SG Clean),"Great staff exceptionally helpful and accommodating,  Nice room . Super location ",10,5-Jan-15,
Ascott Raffles Place Singapore (SG Clean),"We loved the room here, very spacious and tastefully decorated. It was just a very short walk to a nearby hotel for tour pick-ups (where the Ascott is, the coaches can't stop outside) and we were near a number of main areas. Free wifi also made this hotel really good value for money.",10,25-Mar-12,
Ascott Raffles Place Singapore (SG Clean),"Suite style room with kitchen, fridge, micro way and even washer-dryer. Comfortable room setting with spacious bedroom and ample bathroom.",8,5-Oct-14,
Ascott Raffles Place Singapore (SG Clean),"This is a great hotel. The room has everything you need to be self sufficient for a few days, kitchenette and large bedroom area. Huge bathroom. Great location for business or pleasure.",10,1-Feb-14,
Ascott Raffles Place Singapore (SG Clean),The lobby area looks tired and in need of renovation. Comfortable room and good bathroom. The worst breakfast I have seen in a hotel in many a year and on the first morning they charged me extra for having an earl grey tea bag! They were responsive to complaints about this and the reception staff were helpful.,6,20-Jan-14,
Ascott Raffles Place Singapore (SG Clean),"The hotel rooms is big and the kitchenette has everything you need for simple cooking. Overall I had an awesome stay, love the kitchenette.",10,28-Dec-13,
Ascott Raffles Place Singapore (SG Clean),"This was my third stay at this hotel. Its a bit pricey but the location to my office and the level of service from the staff makes the price palatable.
The only down side is that room service shuts down too early and there are no snacks in the room.",8,8-Oct-13,
